제목,평점,내용
"Amazing, exceeded my expectations!",10,"I was pleasantly surprised by ""The Little Mermaid"" movie. As a huge Disney fan, I have noticed that some recent live-action adaptations were leaning towards a more commercial direction that didn't resonate with me. However, this film exceeded all my expectations, particularly with Halle's portrayal of the main character. Her voice is truly remarkable, paying a beautiful tribute to Jodi Benson, and her acting is pure, sweet, and perfectly suited for Ariel. She embodies the essence of the Little Mermaid, and the movie itself is a captivating, well-directed tribute to the beloved 1989 original. Without a doubt, it has secured a place as one of my favorite Disney live-action adaptations!"
Great Movie,8,"I agree with other reviewers that Flounder wasn't easy on the eyes (he was quite hideous)-but overall I thought the film was great. I loved everything about the colorful ""under the sea"" musical number and all the creatures. But Flounder just stuck out-he just wasn't appealing at all. But Halle did great and so did Melissa McCarthy. Overall, the live action followed the original pretty closely. I loved how the mer-people and island inhabitants represented all ethnic groups. The musical numbers were really good too. I wasn't sold on Melissa McCarthy as Ursula at first, but she did a damn good job! She was convincing as a villain and sang her bit off!"
Pleasantly Surprised,10,"I loved the original so much, I didn't think this could measure up. It was a gorgeous film! Well done and well acted. It held true to the original, while adding depth to the Prince Eric character and a few great new songs! I loved that the relationship between Ariel and Eric was more developed. There were minor changes, but none that mattered and some that improved the movie. There was plenty of humor, and I don't know how they made me believe they were truly under the sea! As for Ariel's change of complexion...I never even gave it a thought as we were swept along with the magic of it all. Melissa was AMAZING as Ursula! We already want to go back for a second viewing."
I loved it!,10,"I've been waiting for this movie for literal years and it did not disappoint. This movie gave everything you expect from a live action remake and more. Halle was phenomenal, Jonah had beautiful chemistry with Halle. Melissa took such an icon villain with so much charisma and literally created something new yet familiar so you didn't lose that Ursula essence while still giving us something fresh and exciting. Visually breathtaking the images leaked were a little dark and there were concerns, but clearly that was not the case in the Final Cut. The music was out of this world. The scores though not surprised somehow we're amplified and even more epic than the original and the original is practically untouchable. Over all the long wait was not a disappointment and thank you Disney for finally producing something new for the little mermaid that wasn't a lackluster production like some of the others in the past."
Pleasantly surprised at how enjoyable it was,8,"I had low expectations for this as Disney seems to be destroying everything they touch recently. However, there were not the expected political and social commentary undertones- other than what always should exist in a whimsical movie, to be better. Halle Bailey is an excellent singer, however she shined as the mute girl who was so charming any prince could not help but fall in love with her. The placing of the ""kingdom"" in the Caribbean made the multi-cultural cast seem natural and unpretentious, which also contributed to more (than the original) great music. Notable roles, Javier Bardem (one of Hollywood's great Bad Guys) played an excellent Triton, and Melissa McCarthy was just over-the-top enough insane to do a believable Ursula. A great formula that may help win back many to Disney."
"This movie is fine, yall just want a carbon copy of the original",9,"I have never seen the little mermaid in my life, ever, so this was my first experience with the story.

In general it was a good experience, the music is great, with a few exceptions, but, the only thing that i didnt like it was the underwater ambient. It looks like the props and actors were put over a video, it doesn´t feel like it was underwater, the cgi is bad in some scenes, more at the start where the mermaids are swiming around, they look like they were made in the sims 3.

Other thing that I didn´t like was that the ending feels rushed, everything happend fast, while the rest of the movie goes a bit slow."
Halle Bailey IS Ariel,10,"When it comes to re-imagining old classics, one will often look at the new version with a nostalgic eye. When it comes to ""The Little Mermaid"" you can see how they used this to their benefit. Halle Bailey performs as Ariel in such a beautiful way that I was moved to tears, reliving my childhood where I would sit in front of the big screen in my living room and watch the original over and over. She brought that fondness for a character I'd long forgotten back onto the screen and I felt like a kid again.

It's an excellent movie, from start to finish, and while yes the CGI is realistic, I personally think it's a good idea to have instead of some crazy cartoon crab singing along with a real person. The music flows, and the story captivates.

This movie is a Must Watch for everyone of all ages."
Hale Bailey was incredible,8,"Hale Bailey's singing was truly amazing, and her acting was fantastic too. Her rendition of Part of Your World made me cry. You could tell she was actually singing in so many parts of the movie, which made her performance really powerful.

Melissa McCarthy was perfect. She hit it out of the park. So good.

It was funny, entertaining, and delightful.

Scuttle and Sebastian provided great comic relief and the visuals were gorgeous.

My six year old can't stop singing, ""Kiss the Girl.""

Sure, there were a few blunders including how they approached Prince Eric's adoption and some latent misogynistic tones to the overall storyline. This didn't stop me from enjoying it and wanting to see it again soon.

As someone who grew up on the original and loved it, this one is much better. Bravo!"
Absolutely Brilliant,10,A tremendous film - TOP NOTCH! A huge achievement by all concerned. I loved it. My wife loved it. The look of it - the feel of it - the sheer joy and fun it portrays - all films are about love and this film has love galore. Can't wait to watch it again. It was a treat to see it at the cinema. Brilliant casting - everyone is really exceptional and I mean everyone. Already one of my all time favourites. I can quite easily see that this will be one of those films I will watch over and over. In my opinion it's much better than the animated version - not that I don't like that as I certainly do but this version supercedes it on every level. Watch and enjoy.
Definitely my favourite movie,10,"Absolutely breathtaking. Halle is the perfect Ariel and captures the essence of the character. Her singing is beyond and will give you full body chills. I really appreciate them keeping her dreadlocks, it really added a lovely texture.

Melissa as Ursula is incredible! And her singing is insane. The trio of Scuttle, Sebastian and Flounder are a lot of fun and will be loved by the kids.

The CGI is very well done and you can tell a lot of hard work and detail went into it. The on land locations filmed in Italy were so lovely.

My only critique is that I wish they gave Ariel one more outfit. Amazing!"
Surprisingly charming,10,"It's different from the animation, but it's not by any means lesser. The characters got a new kind of dynamic I enjoy.

There are a lot of original charming moments and beautiful shots, this movie gots its own aesthetic and good qualities that make it stand out as a remake. The actors did such a wonderful job and the songs were sung in such a refreshing way!

There's one song that was a bit extra and can probably cut 10 minutes off, still, it doesn't overshadow this movie's nice quality.

Overall, it's a delightful movie I'm willing to watch again, enjoyed it, liked it, feeling glad I did not skip it due to the bad marketing.

Ps.

Don't walk into the theater trying to compare the animation and a 2023 remake, they both stand out in their own magical way."
PERFECT CAST!,10,"BEST LIVE ACTION DISNEY MOVIE EVER!! Disney couldn't have picked a better cast for this movie. Loved everything about it. Can't wait to watch it again :)

All of the negative comments are coming from people being mad about her race is absolutely absurd. Grow up and realize that we are not in the past anymore. This is 2023 and if you are made about the color of a character in a children's MOVIE, that just means you need to dig deep within yourself and find peace. Halle clearly was the best and most talented for the job which is why Disney chose her. You people can keep being mad and leaving negative review but the box office do not lie.

Great work Disney!!"
Beautiful Work From The Cast and Crew,10,"This film provides a fantastic mash up of aspects from the animation, the broadway show, and sprinkles in enough originality to save the day! Halle Bailey is beyond phenomenal in every way. Daveed Diggs, Akwafina, and Melissa McCarthy added terrific elements of spunk. The humor and heart was around every corner. I was thoroughly impressed with the CGI creation of the ocean. My heart was filled with joy by Halle Bailey's gorgeous version of the classic ""Part of Your World."" I could not fully express my wonder towards the art of the film. Really, I could, if I had hours to spend discussing this masterpiece!"
Exceeded all expectations! A genuinely lovely film.,10,"I grew up with The Little Mermaid - it was one of my all time favourite movies, and while I was excited to see this (because Halle has the voice of an angel) I wasn't expecting much (because Disney remakes have been less than stellar). But I was so pleasantly surprised by this version!

Halle is an incredible Ariel. Her voice is perfect and she nails the acting. Eric is more developed than the original and their connection is more realistic with a stronger foundation (I loved the mirroring of her grotto with Eric's study - a stroke of genius!) Melissa McCarthy blew me away as Ursula - she really killed the camp villainous vibe and was genuinely menacing!

Overall I was very impressed. There were a few aspects I didn't love (the lyrics in Eric's new song weren't great and the scuttlebutt song was unnecessary, though likely very enjoyable for kids) but the emotional core was very well done, the updates to the kingdom/setting were a vast improvement, and the visuals were fantastic.

I'm not too proud to say I cried a few times in the theatre! I'll definitely watch this one again."
Fantastic All- Around!,10,"The imagery, updating, music and cast were all delightful! Our entire family really enjoyed this film!

I have a hard time believing any of the super low reviews are even real. Everyone I know that has seen it has loved it.

The casting was spot on with Ariel and Ursula being perfect. Scuttles voicing was pretty fantastic too. Sebastian was as well.

The changes to the story kept it fresh without deviating too far from what we all know and love about the original.

Please see this for yourself. Throw politics out of it and just watch the movie. Watch it with a little girl and see if she isn't in love with it. That's what it's about folks."
Loved this version!,10,Super fresh new way to project the little mermaid loved seeing the characters in a more realistic light! Great musical energy emotional ending child friendly. It's not the original but I mean the original is the original this remake was great! The fact that there's a mixture of culture and color and vibrant energy and environment throughout the entire film it's giving fresh and new ! Loved triton as a Latino lovedddd loveeddddee loveddddd ursela as McCarty she was a legit star! And most certainly loved Halie as Ariel she looks amazing sounds amazing her voice is so much like the original and she was a super gorgeous mermaid!
HONEST THOUGHTS,8,"2 out of 5 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
AMAZEBUBBLES!!!,10,"But...sadly...there is a huge movement giving this movie ""one star"" online (without ever having seen the movie) because they truly believe this MERMAID is ""greatly miscast"" because she is supposed to be a white red-head(?)...while there are others keeping their children away because they think this movie is just about a girl who sells her voice just to ""get a man"" and kids should not see such tawdriness! But truly, this movie is many thousands of leagues beyond all that...and in the most incredible ways. This movie is about a determined, intelligent, vibrant young lady who trades her voice in exchange for having the repressive bubble she is expected to live in burst so she can go out and explore living in a whole new world. After (silently) doing so, she creates a voice that is so much stronger than anything that can be heard only by a prince. I loved the cast of this movie and I now don't think anyone could ever play Ariel better than Halle Bailey - and rest of the cast was beyond - Melissa McCarthy! I saw this in 3D and it was one of the most visually stunning, entertaining movies I have seen in a very long time. And the end...well...I'm not too proud to admit that I think some of those mermaids may have ended up splashing a little water in my eyes. 🐠🦀🌈🌊 Loved it all. 💝💝💝💝💝"
My kid loved it.,10,"I generally don't enjoy the live-action remakes, but this one gets a 10/10. Just enough has been changed, and just enough has been kept the same. Halle was an amazing and inspired casting. Prince Eric was also cast perfectly. Scuttle was my favorite character in the original so at first, I was sad he was changed so much. But then I grew to enjoy Awkwafina's performance.

Overall, it was well worth seeing. My 4 and a half year old and her 2 friends enjoyed it a lot.

The music was great! Nostalgia plus ingenuity.

I read just bad things about the Ursula makeup and actor, but she did an absolutely amazing job. A touch of modern humor in the song, a few lyrics skipped or changed but it was extremely well done. The eels were creepy. Javier Bardem was such a great King Triton.

I also didn't understand so many people disliking the realistic sea creatures. It's a Live-Action remake, a cartoon fish would've made no sense at all. Flounder and Sebastian had charisma and charm, while maintaining overall realistic features."
This movie was Amazing!!!,10,"The songs, the music, and choreography, the whole movie was amazing and I was in tears at the end. Brilliant movie!! My favorite characters were Úrsula and skuttle. Skuttle was hilarious. She had my crying laughing throughout the movie. Sebastian was great too. Hallie was great as Ariel. I really enjoyed the new songs and will be getting the soundtrack. This is one of my favorite movie remakes because the Little Mermaid was my favorite movie as a kid. I love the new Melody to some of the songs as well. My favorite scene was at the end when all of the mer people came to say goodbye to Ariel and Eric! My family will definitely be going to see it again."
I loved it. My 3 year old loved it.,10,"I grew up with the original little mermaid. I love both movies. Casting is great. The singing was incredible. I definitely cried in ""part of your world"". The ""Under the Sea"" scene was visually stunning.

It was different enough from the original to keep me engaged, but similar enough to keep it nastalgic.

My 3 year old prefers the live action version. (Daughter tricked her grandmother into taking her to see it a second time after I took her to see it in the theater opening day). It was not too dark or scary for little ones. She was on the edge of her seat. It was a tad loud a few times and she covered her ears."
Great adaption that was an overall improvement!,8,"4 out of 13 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Prince Eric can Sing Too,9,"2 out of 10 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
"DO NOT PAY ATTENTION TO THE BAD REVIEWS, WATCH IT",10,"Okay...WOW! When this movie was first announced I was very skeptical of how it was going to turn out...but after watching it, it literally surpassed any expectations I could have had. I forgot the last time a movie brought me this amount of emotions. The auditorium was full and the movie touched every single heart watching. I couldn't quite hold back my tears when everybody started applauding, cheering and screaming in the last scenes! My inner child couldn't be any happier to witness such moment!

Hale Bailey was definitely the perfect cast. I really can'y picture anybody do this role after watching her! She definitely prepared herself. Everything from acting to the feminine mannerisms that make a Disney Princess!"
My Favorite Disney Remake!,10,"The Little Mermaid has always been my favorite Disney movie. This remake was a perfect blend of nostalgia from the original film and new ideas. I absolutely loved Halle Bailey's performance. Her voice is beautiful and she played the role so well. I loved the parallels added to make the humans and sea creatures have similar ideas about each other and watching the change of heart from both sides was so heartwarming. This movie really fleshed out the relationship between Ariel and Eric, allowing them to have a more realistic connection through their mutual love of exploration and collecting trinkets, and showed growth in their love for one another over time. Rather than sticking to the cliche love at first sight despite knowing nothing about one another, this movie made Ariel and Eric truly appear like each others missing halves. I know some of the changes don't sit right with anti-revisionists, but I think every single change was a perfect choice that really enhanced the story and made it a beautiful artwork for the modern day. Absolutely loved this movie and everything it represents about giving people chances despite their origins and broadening your world through curiosity and exploration of the unknown. 10/10 from me, and I'm typically a harsh remake critic."
Such an amazing movie,10,"People are not giving themselves the opportunity to see this wonderful movie, the scenes that are replicated are really amazing. It is true that there are some effects that look weird, but it has very emotional scenes and Halle she plays an exceptional role, she really makes you feel the movie. Listening to the songs you will understand why they chose it Disney modified the plot in terms of location so that there was congruence with the race of Halle, and I think they gave an exceptional touch to the film.

You should really give yourself the opportunity to see this beautiful movie with great messages."
Filled with joy and laughter,10,"It was such a beautiful rendition of the classic tale of The Little Mermaid. Halle Bailey was amazing, perfect for the role of Ariel. Her vocals were amazing. She did such an amazing job on the classics songs like part of your world. The sea witch was cast perfectly with all the subtle reminders of the classic movie. Scuttle was perfect casting. She was hilarious. Her rap song telling Ariel about Eric about to marry was hilarious had me about to fall out of my seat. Sebastian was perfectly cast. He was also hilarious with his little phrases. Good fun for all the family, new and old. I loved it. It was an amazing."
Great remake,9,"The Little Mermaid"" brings enchantment and nostalgia to life in a visually stunning and heartwarming tale. This live-action adaptation of the beloved animated classic captures the essence of the original story while infusing it with a fresh and modern twist.

The casting choices are impeccable. The talented Halle Bailey shines as Ariel, capturing the character's curiosity, longing, and determination with grace and charm. Her voice resonates beautifully in the musical numbers, capturing the spirit and soul of the iconic songs we have come to love. Melissa McCarthy brought balance to the cast list."
Disney's Best Live Action,9,"4 out of 41 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
AMAZING!,10,"3 out of 14 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Phenomenal movie,10,"Went to watch with zero expectations, and that being a Little Mermaid fan since small. Didn't expect to be blown away, the cast is perfect and the direction was darker but brought up such emotions, in a different way as the animated original. Halle is phenomenal as Ariel and her casting worked in context of the reimagined world. Had doubts when she was casted but she more than proves her detractors wrong. She embodied Ariel and excellently showcased the varied emotions, even tne scenes where she was voiceless worked. And the chemistry with onscreen Eric is just oozing. Made me root for them more. Saw it the second time today."
Perfection,10,"3 out of 18 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Amazing!,10,"3 out of 29 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
A great movie.,10,"I wouldn't consider this movie a masterpiece but it is absolutely a beautiful retelling of a story most of us know.

Halle Bailey did a wonderful job and really captured Ariel. I couldn't think of anyone else who could do it better.

The story needed updates and I'm so glad the direction they picked.

Having the story based in the tropics was a smart move. Made the music more light and fun.

Prince Eric and Ariels chemistry was off the charts and it's definitely more of a grow to love than the original. I feel like all the errors with the 1980s version was addressed and improved on.

I feel like the reason why this movie is getting so much hate is due to people not realizing their own racism. It's sad."
Loved it,9,"I loved the original but when I watched this I found I loved this 1 just as much, the added parts of the story and songs just made it its own. The casting was perfect and I am glad that i gave it a chance. I will watch it again when it was released. I am really pleased with the film and any haters out there need to think of it as its own and not a remake of an animation just its own story like every other story and adaptation out there. The songs sounded amazing, I love the extra depth it goes into throughout the story. Hearing their thoughts and feelings some more through them just made it that much better."
Loved everything about the movie.,10,"I think this was very well made and the singing was spectacular, children in the theater were overjoyed and the movie made me feel like a little kid again. Great acting in the costumes were very vivid in color. The littles girls were all dressed in costumes and it made it very festive in the theater, this is a movie that everyone should take their children to see. This movie is definitely going to be a hit because the movie theater was packed there was not one empty seat in the whole theater. Basically the same storyline as the first little mermaid just with different actors, going to take another group of kids this Saturday."
Soulful remake.,10,"Halle Bailey's performance is stellar in this. I cried twice. The raw emotion she brings to the scene where she sings part of your world is unbelievable. And her singing brings a new life to Ariel. Not to mention the special effects, digital art, and visual effects it took to create this how well they did really is astounding. It's breathtaking and beautiful. The scene for under the sea was so visually dazzling that I wanted to clap in the middle of the theater. I even recognized some of the exotic animals used. It was really cool! Also they used a rainbow cast and that really enhanced the experience as well."
Amazing with a few tweaks,10,"3 out of 19 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Was everything we expected!,10,"4 out of 26 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Fun and enjoyable.,10,"3 out of 13 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Rekindling the joys of the Little Mermaid,10,"My daughter and I went to the movie to enjoy. She is a young adult now who LOVED the little mermaid years ago. The music, then, was very good. The music, now, in this one was Great! So good, that we sang along. The action scenes with the horse carriage and on the lagoon were so memorable and fun! We enjoyed this treasure. A new favorite, fitting for a mom and daughter date! The music was so lively and the characters on the beach seems to invite the audience onto the beach fun. The shoreline, to our surprise, was unremarkable. The Sea Witch Ursula played her role to perfection, however Arielle was the Star! We loved the movie!"
Absolutely beautiful!,10,"I took my daughter and her friends to see The Little Mermaid and we all loved it! We sang, we laughed, we cried. It was my favorite live action Disney remake so far. I see why they picked Halle. Her voice was perfect! Her singing was amazing of course, but even her speaking voice sounded like Ariel from the cartoon. We were all blown away by the visuals. The underwater scenes were definitely my favorite. And I love that we got to know Price Eric a little better. It made his character much more endearing and lended more weight to their three day love story. All in all Disney did a wonderful job. This was a beautiful movie and I can't wait to see it again."
Loved the movie!,10,"I first saw the original little mermaid when I was 4 years old and it has always been my favorite Disney movie! I rarely think remakes do a good job but this is one time that I disagree with that! This movie is fantastic, they did a great job keeping true to the story line but making it more modern and entertaining. Love Hallie and loved Prince Eric. Both did a fantastic job! Hallie's voice is amazing and the music stayed true to the original. Would definitely recommend and would probably go so much to say that I enjoy this version better than the original movie. Would recommend over and over."
"A wonderful, modern remake",10,"I loved this film, it's now one of my favorite movies I've ever watched. After watching the remake, I went home to watch the original and it felt a bit flat. The remake just has more joy, more love, and the plot is just better. I've watched it now twice and I'm having withdrawals, going back a third time in four days, which feels too far away. Everyone in the cast did a phenomenal job but Halle was a revelation. Always know she was an incredible singer/ songwriter but the acting?!? She embodies Ariel so much, that same innocence, defiance, determination. Honestly it might be my fave Disney movie."
Not perfect but pretty good for another Disney remake,8,I miss original Disney content actually worth going to the theater for. I'll be honest I went to see this remake because of all the hype. I wanted to judge it for myself. I usually give these live action remakes a pass but The Little Mermaid came out the year after I was born yet I've only seen it a couple of times. It was never one of favorites but I do remember it having quite the following when I was little. So I gave this version a shot to see if I liked it any better than the animated version. I thoroughly enjoyed the movie. I feel like parts of it could've been fleshed out more but they tried to shove so much plot in a typical if Disney 1.5 hours. I enjoyed the new direction it took and the new songs. Scuttlebutt had my whole family dancing! Overall I'd recommend giving it a go.
We loved this movie!,10,"This movie did not disappoint. It had great graphics and cinematography, the story brought out all the emotions sadness, joy and laughter. Halle Bailey was a perfect choice for this remake. She is young, so beautiful and talented. We never took our eyes off the screen!!! Our four year old who had only been to the movies once before, was mesmerized by the real look of the mermaid tail swimming through the ocean. Halle's soft voice and vocals really sounded like what one would imagine a mermaid would sound like. All of the characters were believable and the actors did an exceptional job bringing the storybook to life!"
"Beautiful, colorful, and fun!",9,"I took two of my four children to see this movie. A 15 year old and a 5 year old. Both loved it, as did I! It was beautiful, I loved the new songs, my 5 year old really enjoys the ""Scuttlebutt"" song. I have seen so many reviews saying it's dark and gloomy. I must have watched a different movie. All I kept thinking, especially during the ""Under the Sea"" and ""Kiss the Girl"" numbers how colorful and beautiful everything was! When they go into town, it's colorful and lively. My 15 year old who grew up watching the original every night for months straight absolutely loved it. They want to see it again! We really loved this movie and I truly believe it's the best live action remake we've gotten thus far from Disney.

All the actors were brilliant. Javier Bardem was my only slight gripe and it's just because he took me out of it a bit. Halle Bailey was amazing. Breathtaking. Her voice is so beautiful. Scuttle and Sebastian cracked us up. Melissa McCarthy really stole the show when she was on screen. Her presence is just so powerful, and she really stayed true to Ursula. It was a wonderful movie and I highly recommend to anyone just wanting to watch a movie for enjoyment, not to nitpick."
Well made remake,8,"Apart from Prince Eric wich I found boring, this movie is really well made and beautiful.

If you are a true fan of the original, you will like this one too !

Be open minded and and just enjoy it.

It reminded me of the way I felt when I saw the animated one for the first time.

Hailey did a great job, she is beautiful, charismatic and what a voice...a trully Disney princess voice. Melissa is just a terrific Ursula and Javier Bardem is just Javier Bardem, what can I say.

It's not an exact replica of the original one, but way more profound and Ariel doesn't seem just like a teenage girl in love...she wants something better for herself.

8/10. Can't wait to see it again, the visuals are amazing."
Beautiful and vibrant remake of a nostalgic movie!,10,"It was a beautiful remake of a nostalgic movie! They captured the essence of the original soundtrack perfectly where you can sing along like you did 30 years ago! The music was wonderfully done and oh so powerful.

The graphics were wonderfully done. There were stunning scenes of marine life that made me want to be able to dip down into the big blue and see some of those spectacular creatures.

We could hear people throughout the movie theater laughing at the humor, including children's giggles at Sebastian and Scuttle's jokes.

It was enjoyed by multiple generations where the six of us who saw it all gave it a 10/10."
Loved it,10,"2 out of 21 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Nostalgia at it's finest,10,"I don't usually leave reviews but felt I had to come on here and set some record straight.

I absolutely loved this film - Disney have done an amazing job!

I had huge reservations based on the negative reviews, but I was surprised at how good it was.

I grew up with the original and this is a more up to date version of it.

Halle Bailey is just incredible as Ariel, her voice is phenomenal, and she deserves the recognition.

The same can be said for Melissa McCarthy who sounded exactly like Ursula, she was scary but at the same time hilairious.

Skuttle and Sebastian provided great comedy.

I loved everything about it.

Go and see the film!!!"
"The Movie itself Was Great, People are just bored with problems that were already in the original!",9,"The movie has some lacks like in the sea creatures character designs. But, storyline wise it's pretty much the same as the original some parts are even better. No kids in the movie I went to were losing interest maybe it's your fault your kids can't sit through a movie. I care way more about Eric in this version and Ariel is way better of a character actions wise. Not to mention the musical scenes look beautiful. Most criticism of the film seems to come from the fact you didn't actually like the original story either and when you were a kid just liked big flashing colors to keep you entertained."
My mom and I enjoyed it!,10,"I've always been a big fan of The Little Mermaid and when I heard it was going to be made into a live action film, I was overjoyed. I saw the movie the day before it officially premiered and I was not disappointed. Yes, it's different from the animated version and maybe it's a bit more mature and realistic, but those changes actually improved the storyline. The story and the characters are still there, just the way they get from point A to Z is different, but not in a bad way. Give the movie a chance before you decide to hate on it. Congrats on a job well done everyone! Can't wait to see the movie again!"
Movie of the year,10,"I looked forward to this movie all year. The CGI is AMAZING, Halle is an angel, Jonah as Prince Eric is a dream, and Melissa as Ursula was the best. All the new songs are so catchy, and the originals are even better. The film also made sure also to capture new ways to enhance the storyline and threw in a lot of new colors and visuals. It was just so well made, and you honestly can't have this beat. My favorite song is the new one by Jonah called ""Wild Uncharted Waters."" The song is so incredibly well made, and his voice is just..wow. Hands down the best Disney movie I've seen. Disney hit it out the park with this one."
Beautiful!!!!,10,"This movie was the BEST remake Disney has done!!! Her voice was sooooooooo beautiful!!!! The CGI was beautiful!!! She's beautiful and of course all the characters were beautiful,phenomenal acting!!! I love the storyline. This was just a very well put together film!!! This was some of the best acting I have ever seen. I can't believe people have bad things to say about this movie other than the fact that this girl is a dark mermaid. How can people be so childish? Disney just honestly did an awesome job with this remake and there's nothing short that I can say. I am usually at her critic with judging movies, but this movie was just absolutely magical and beautiful. Her voice is just angelic and yet beautiful! She has the voice of a Disney queen! She brought tears to a lot of our eyes in the theater! Perfect person Disney!!!! Perfect! Haters will hate ! But Disney knew who was the better fit! Thanks Disney! Beautiful and magical as always ."
Loved every minute of the movie!,10,"Rating this movie a 10/10! They did their best to stay within the story line while adding some scenes to add depth to it. I also like that they added new songs which helped so much with the flow of the movie. The animation for ""Under the Sea"" was my favorite though, but ""Part of your World"" doesn't fall far behind. I had goosebumps insome scenes and felt nostalgic. I just love it! I don't see why some people criticize it just because of superficial concerns. Everyone did an excellent job in their portrayals. Highly HIGHLY recommend watching!

⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐

#thelittlemermaid #hallebailey #Disney."
Best Disney live action adaptation to date,9,"In 1989 I took my first serious girlfriend on a date, we watched ""The Little Mermaid."" Since that time the music and story have been a part of my life, and the lives of 3 children I have raised.

I took a group of young people from a church group to watch the 3D live adaptation, many of them are African-Americans. The joy of watching them react to a heroine who looks like them was worth the price of the tickets.

Despite my viewing context, she transcended merely being an actor of color playing a role. Halle Bailey seamlessly WAS Ariel, lifting the story and character to new heights. Daveed Daniele Diggs made diminutive Sebastian as large as life, Melissa Mcarthy completely delivered as Ursula, and Johah Hauer-King capably portrayed Eric with the much-needed added dimension. I should simply say ""with dimension,"" as the animated Eric had none - this was one of the writing improvements. I was not crazy about the Scuttle character, Buddy Hackett was incomparable, but there was a bit lacking with this portrayal. Perhaps they needed more of a reboot on this one?

The effects were as colorful and as stunning as Disney can deliver, the cgi worked as well as it has in any film. Both the new and the existing music enhanced the story and the visuals with magic worthy of Disney's golden years, evoking laughter, tears, and a renewed sense of wonder. The overall effect was more than a love letter to the source material and provided enough expansion and freshness to make it feel like a brand new yet familiar film.

No movie is without sin, but this one will undoubtedly go down as one of the Disney greats and will prove worthy of multiple reviewing opportunities."
Go watch it now!,10,"First, let me start off by saying that I am not a fan of live action remakes. Normally, I can't stand them. As an 80s baby, I like my classic cartoons to stay cartoons...But for this movie, an exception was made and I was NOT disappointed. The Little Mermaid was always a favorite in my house, with myself and my own children. Despite the ridiculous idea of giving up your life for a man you've known for less than 24 hours, the idea of exploring a world unknown resonates with many young children including mine.

Halle Bailey was absolutely magnificent as Ariel. Not only was she bright-eyed and adorable with her flowing locs, her singing and acting were top tier. Definitely a shining star. The removal of the cherry red hair and inclusion of locs was also a definite plus.

I found the CGI and colors to be phenomenally done considering a large majority of the movie is in/underwater. Anyone who has ever been in the ocean at any considerable depth knows it's dark down there. Expecting bright, ""cartoonish"" visuals would be ridiculous and Disney nailed it. As expected, Sebastian and Flounder looked like real sea creatures, CGI no doubt but a real not cartoonish.

Let's talk music. While there were a couple of added songs that I could have done without, they were tolerable. The other songs made up for those. Part of Your World, Kiss the Girl, and Under the Sea...yes, yes, yes. *chefs kisses* Poor Unfortunate Souls definitely could have been better but it was acceptable.

Now, the one person who didn't quite nail their character was Melissa McCarthy. She just didn't quite give me the camp of the original Ursula. But the visuals & those light-up tentacles were enough to push her and make up for her sometimes flat delivery.

This movie honestly exceeded all expectations I had and may make me go back and watch a few of Disney's other live action remakes."
Great movie despite not being target audience,10,"As a 22 yo guy going into this movie I was expected to not enjoy the movie that much since it's a kids movie. But I really enjoyed it despite it not being targeted toward me. Honestly, I could see this movie being a little scary at parts if I was a six year old kid. The casting and acting was great. The animation was really well done and it doesn't stick out like a sore thumb. Some people didn't like the CG of the companion animals, but I think that's subjective. I think the CG/animation blended really well alongside the live action elements. They obviously do look a little strange side by side in the live action shots, but I think it's just about the best you can do in that situation. Especially because I'm used to the live-action/animated combo movies of the early 2000's that looks absolutely hideous. The movie was also well written and paced as I was entertained and laughing throughout the movie."
Sad to see all the hate.,10,"11 out of 61 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Disney did it right with this live action!,9,"6 out of 34 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Loved it!,10,"I really enjoyed watching this remake, although I'm not a remake fan... Halle Bailey did an awesome job!.. She was truly a great pick to star Areil... She's a beautiful young lady and she has a beautiful voice, it you're gonna be Areil you've got to have ""that voice"" ... And that Prince Eric was a cutie!... I loved the cast, everyone was great... The singing was on point, I was surprised that I remembered the words after all of these years😁... The movie took me back to my childhood days... As a child I watched this movie over 20 times 😁... Good job Disney, no complaints from me on this one... I would pay to see it again... I really loved the movie!"
I would give this 100 stars if I could,10,"This movie was absolutely beautiful and very well done. Halle Bailey stands out as an absolute knockout with her gorgeous voice and adventurous spirit. She embodies the character of Ariel perfectly. Melissa Mccarthy does an exceptional job as Ursula. It was fun and the new songs were enjoyable. My only complaint would be that they kept her in the same dress the whole time on land, but even then that is such a small issue. I can't wait to buy the soundtrack. I got literal chills when Halle started singing. I also greatly appreciated the Easter eggs to the original story. It was very clever and beautifully done."
